num	t/b	strain	dE	RMS	PR	hyst
92	bot	0.0036	0.0	5.592507336025776e-05	0.3103587694021473	0.0004
93	top	0.0193	0.0	0.00022878365140312874	0.1404602540551573	0.014
93	bot	0.0052	0.0	0.00038415414478647594	0.11879802909159623	0.014
94	top	0.0257	0.0	0.00010379617087452415	0.3002446980189051	0.0015
94	bot	0.0241	0.0	0.0001620286098073319	0.2583252975752875	0.0015
95	top	0.0039	0.0	5.830116886060976e-05	0.10557326222953432	0.0031
95	bot	0.0007	0.0	1.59579370233704e-05	0.09483823169559272	0.0031
96	top	0.0288	0.0	0.0007582734457610902	0.07103613717289081	0.029
96	bot	-0.0003	0.0	0.0008347780705421456	0.07519701907922305	0.029
97	top	0.0151	0.0	0.00036850382911982396	0.17768266666423213	0.015
97	bot	2.1158898314801175e-37	0.0	0.0005276075472546404	0.3214410050571081	0.015
98	top	0.0227	0.0	0.0007129493854855019	0.32445418649054186	0.0213
98	bot	0.0013	0.0	0.0005786600169922154	0.35226432840087474	0.0213
99	top	0.0159	0.0	1.83978648474167e-05	0.31944425518477815	0.0002
99	bot	0.0156	0.0	1.8464247720564386e-05	0.311465238365701	0.0002
100	top	0.0469	0.0	2.4826299199604087e-05	0.15354747874847713	0.0017
100	bot	0.0451	0.0	2.5597912116274568e-05	0.1526726213619887	0.0017
101	top	0.0109	0.0	2.3967841663450265e-05	0.06813093121054731	0.0004
101	bot	0.0104	0.0	2.4206760006101345e-05	0.06753199659483966	0.0004
102	top	0.0054	0.0	2.8877227681097085e-05	0.09033958924147374	0.0006
102	bot	0.0047	0.0	2.341451641903118e-05	0.06467599079511538	0.0006
103	top	0.0007	0.0	0.00011044439121667817	0.18409762886701575	0.0038
103	bot	-0.0032	0.0	0.0001370414268509335	0.2449236885305372	0.0038
104	top	0.0079	0.0	8.33894523588488e-05	0.06301681833026242	0.0014
104	bot	0.0064	0.0	8.575143708369577e-05	0.07232029491422744	0.0014
105	top	0.008	0.0	1.587528271221939e-05	0.07305771142989773	0.0007
105	bot	0.0072	0.0	2.265437586892077e-05	0.08840385007140959	0.0007
106	top	0.0112	0.0	3.080401163717864e-05	0.2858181550754938	0.0017
106	bot	0.0094	0.0	2.286246958104787e-05	0.28561318756952214	0.0017
107	top	0.0023	0.0	3.6200266612581566e-05	0.10683922695990752	0.0001
107	bot	0.0021	0.0	3.620026661258164e-05	0.10661176932605367	0.0001
108	top	0.0125	0.0	3.189783133784776e-05	0.1811760941306434	0.0003
108	bot	0.0121	0.0	3.219744782415297e-05	0.19287894560285462	0.0003
109	top	0.0012	0.0	9.631660431566665e-06	0.3668536754911027	0.0001
109	bot	0.001	0.0	9.631660431566899e-06	0.36756510277321136	0.0001
110	top	0.0056	0.0	4.267315219533142e-06	0.15048955023303312	0.0002
110	bot	0.0053	0.0	7.3548968272404575e-06	0.1263024313466582	0.0002
111	top	0.0069	0.0	6.546719656248451e-05	0.3101734017858222	0.0007
111	bot	0.0061	0.0	6.67129543661214e-05	0.343457961445519	0.0007
112	top	0.005	0.0	7.973514084065258e-06	0.014698753793125111	0.0015
112	bot	0.0034	0.0	2.192168947413055e-06	0.009303480573274498	0.0015
113	top	0.0011	0.0	0.000508942019976712	0.40279501763085807	0.0053
113	bot	-0.0043	0.0	0.00031974202592793767	0.3383652448298198	0.0053
114	top	0.0112	0.0	5.180733378407081e-05	0.1437167819784121	0.0001
114	bot	0.011	0.0	5.180733378407063e-05	0.14320156985528162	0.0001
115	top	0.0158	0.0	3.1569309351576607e-06	0.18866349069616697	0.0001
115	bot	0.0156	0.0	3.1569309351573083e-06	0.1885943353779308	0.0001
116	top	0.0167	0.0	0.00015462197256360728	0.10518655670954542	0.0025
116	bot	0.0141	0.0	0.00011930874137584285	0.09857428527763372	0.0025
117	top	0.0059	0.0	0.00015786171942734658	0.12662433803118764	0.0031
117	bot	0.0027	0.0	9.72095484471865e-05	0.10751852328936111	0.0031
118	top	0.0086	0.0	1.4705891862519899e-05	0.014226270368262312	0.0035
118	bot	0.005	0.0	1.988522789114027e-05	0.01576593061456112	0.0035
119	top	0.0249	0.0	0.00010203907856368178	0.06728684431563317	0.0235
119	bot	0.0013	0.0	6.133576157654898e-05	0.06919101925856973	0.0235
120	top	0.0067	0.0	0.00011741714151267809	0.10154543515499079	0.004
120	bot	0.0026	0.0	9.496263334736391e-05	0.10373150632637947	0.004
121	top	0.0014	0.0	0.0001285731713849886	0.32356832896510435	0.0339
121	bot	-0.0326	0.0	0.00012693283776256894	0.060546308195363226	0.0339
122	top	0.0377	0.0	6.798395042862159e-05	0.08756322964887887	0.0139
122	bot	0.0237	0.0	6.345768340501621e-05	0.1163916981332385	0.0139
123	top	0.0098	0.0	3.9440029917160067e-05	0.0700868165147406	0.0015
123	bot	0.0082	0.0	2.976009392311341e-05	0.061455103002413566	0.0015
124	top	0.0229	0.0	0.0006835965931213709	0.4035428074359592	0.0169
124	bot	0.0059	0.0	0.0006347772739008502	0.3306201076138995	0.0169
125	top	0.0187	0.0	0.00011738440201641221	0.41960192842600286	0.0025
125	bot	0.0161	0.0	0.0001419697545912085	0.36814897767763904	0.0025
126	top	0.0165	0.0	3.6981939226799915e-05	0.2273701209014032	0.0001
126	bot	0.0163	0.0	3.698193922679976e-05	0.22742986123416947	0.0001
127	top	0.0066	0.0	4.714205139408662e-05	0.1293192543366341	0.0041
127	bot	0.0024	0.0	7.816536993747976e-05	0.07791504800251549	0.0041
128	top	0.0363	0.0	1.0105453921351162e-05	0.10707404388400865	0.0001
128	bot	0.0361	0.0	1.0105502257813186e-05	0.10715762902081373	0.0001
129	top	0.0226	0.0	7.242213048560662e-05	0.5034584330601478	0.0003
129	bot	0.0222	0.0	8.292240628737475e-05	0.49666027209637287	0.0003
130	top	0.0267	0.0	0.00016241322028083527	0.08065849764227091	0.0065
130	bot	0.0201	0.0	0.00012129118677024365	0.09444500796233632	0.0065
131	top	0.0092	0.0	6.930441476597878e-05	0.16597244899965777	0.0005
131	bot	0.0086	0.0	2.4805569047089777e-05	0.19570830858682975	0.0005
132	top	0.001	0.0	0.00012237497227695105	0.1874812350704797	0.0019
132	bot	-0.001	0.0	5.4187229093702215e-05	0.15303384272761547	0.0019
133	top	0.0008	0.0	7.820407115360043e-05	0.20695682258505305	0.0004
133	bot	0.0003	0.0	7.515203152891744e-05	0.21145392012025419	0.0004
134	top	0.0196	0.0	0.0001721363724292101	0.40463019566100794	0.0056
134	bot	0.0139	0.0	0.00020653663024098806	0.41328857939635094	0.0056
135	top	0.0001	0.0	1.2223387359345176e-05	0.011309946246741377	0.0026
135	bot	-0.0026	0.0	6.222758305835271e-06	0.008593097809181712	0.0026
136	top	0.0127	0.0	0.00028490530604606106	0.40726293004561376	0.0056
136	bot	0.007	0.0	0.00027796960354407435	0.35035401121434584	0.0056
137	top	0.0066	0.0	2.6547540484557106e-05	0.04149749608777312	0.0003
137	bot	0.0062	0.0	1.9470184920903885e-05	0.04398859120930597	0.0003
138	top	0.0369	0.0	0.0001036133876177908	0.5012478294336804	0.0004
138	bot	0.0364	0.0	0.00011595370895030164	0.4661676973929651	0.0004
139	top	0.0161	0.0	3.6020166900640305e-05	0.2597126050821631	0.0009
139	bot	0.0151	0.0	3.7277001308669674e-05	0.21103479071736483	0.0009
140	top	0.048	0.0	1.5234306053896206e-05	0.46110000973630255	0.0001
140	bot	0.0478	0.0	1.5234306053896089e-05	0.4609929084619234	0.0001
141	top	0.0237	0.0	0.00023165296306745608	0.12643119114588053	0.0157
141	bot	0.0079	0.0	0.00021673969690421814	0.10248056367500456	0.0157
142	top	0.0241	0.0	0.0002145392835786059	0.17290944342952932	0.0102
142	bot	0.0138	0.0	0.00024349334653614666	0.15336695164524727	0.0102
143	top	0.0092	0.0	1.8287625713941598e-06	0.09990378308294297	0.0002
143	bot	0.0089	0.0	1.9186408653040726e-06	0.10258737817036277	0.0002
144	top	0.04	0.0	0.0001318652120686849	0.3454582594990955	0.0066
144	bot	0.0333	0.0	0.00018746387091013968	0.4645047737459776	0.0066
145	top	0.0107	0.0	5.083221492285027e-05	0.537081963547709	0.0008
145	bot	0.0098	0.0	2.68288708823062e-05	0.5338960336875258	0.0008
